,Car full name,Make,Model,Minimal price (gross) [PLN],Engine power [KM],Maximum torque [Nm],Type of brakes,Drive type,Battery capacity [kWh],Range (WLTP) [km],Wheelbase [cm],Length [cm],Width [cm],Height [cm],Minimal empty weight [kg],Permissable gross weight [kg],Maximum load capacity [kg],Number of seats,Number of doors,Tire size [in],Maximum speed [kph],Boot capacity (VDA) [l],Acceleration 0-100 kph [s],Maximum DC charging power [kW],mean - Energy consumption [kWh/100 km],price in eur,price score,range score,acceleration score,boot score,charging score,average score
0,Audi e-tron 55 quattro,Audi,e-tron 55 quattro,345700,360,664.0,disc (front + rear),4WD,95.0,438,292.8,490.1,193.5,162.9,2565.0,3130.0,640.0,5.0,5.0,19.0,200.0,660.0,5.7,150,24.45,72597.0,62.97,57.54,69.81,69.96,51.61,62.378
1,Audi e-tron 50 quattro,Audi,e-tron 50 quattro,308400,313,540.0,disc (front + rear),4WD,71.0,340,292.8,490.1,193.5,162.9,2445.0,3040.0,670.0,5.0,5.0,19.0,190.0,660.0,6.8,150,23.8,64764.0,68.21,38.1,59.43,69.96,51.61,57.462
2,Audi e-tron S quattro,Audi,e-tron S quattro,414900,503,973.0,disc (front + rear),4WD,95.0,364,292.8,490.2,197.6,162.9,2695.0,3130.0,565.0,5.0,5.0,20.0,210.0,660.0,4.5,150,27.55,87129.0,53.25,42.86,81.13,69.96,51.61,59.762
3,Audi e-tron Sportback 50 quattro,Audi,e-tron Sportback 50 quattro,319700,313,540.0,disc (front + rear),4WD,71.0,346,292.8,490.1,193.5,161.6,2445.0,3040.0,640.0,5.0,5.0,19.0,190.0,615.0,6.8,150,23.3,67137.0,66.62,39.29,59.43,63.52,51.61,56.09400000000001
4,Audi e-tron Sportback 55 quattro,Audi,e-tron Sportback 55 quattro,357000,360,664.0,disc (front + rear),4WD,95.0,447,292.8,490.1,193.5,161.6,2595.0,3130.0,670.0,5.0,5.0,19.0,200.0,615.0,5.7,150,23.85,74970.0,61.38,59.33,69.81,63.52,51.61,61.13000000000001
5,Audi e-tron Sportback S quattro,Audi,e-tron Sportback S quattro,426200,503,973.0,disc (front + rear),4WD,95.0,369,292.8,490.2,197.6,161.5,2695.0,3130.0,565.0,5.0,5.0,20.0,210.0,615.0,4.5,150,27.2,89502.0,51.66,43.85,81.13,63.52,51.61,58.354
6,BMW i3,BMW,i3,169700,170,250.0,disc (front + rear),2WD (rear),42.2,359,257.0,400.6,179.1,157.0,1440.0,1730.0,440.0,4.0,5.0,19.0,160.0,260.0,8.1,50,13.1,35637.0,87.69,41.87,47.17,12.73,11.29,40.15
7,BMW i3s,BMW,i3s,184200,184,270.0,disc (front + rear),2WD (rear),42.2,345,257.0,400.6,179.1,159.0,1460.0,1730.0,440.0,4.0,5.0,20.0,160.0,260.0,6.9,50,14.3,38682.0,85.65,39.09,58.49,12.73,11.29,41.45
8,BMW iX3,BMW,iX3,282900,286,400.0,disc (front + rear),2WD (rear),80.0,460,286.4,473.4,189.1,166.8,2260.0,2725.0,540.0,5.0,5.0,19.0,180.0,510.0,6.8,150,18.8,59409.0,71.79,61.9,59.43,48.5,51.61,58.646
9,Citroën ë-C4,Citroën,ë-C4,125000,136,260.0,disc (front + rear),2WD (front),50.0,350,266.7,435.4,180.0,152.2,1541.0,2000.0,459.0,5.0,5.0,16.0,150.0,380.0,9.5,100,,26250.0,93.97,40.08,33.96,29.9,31.45,45.872
10,DS DS3 Crossback e-tense,DS,DS3 Crossback e-tense,159900,136,260.0,disc (front + rear),2WD (front),50.0,320,255.8,411.8,255.8,153.4,1523.0,1975.0,450.0,5.0,5.0,17.0,150.0,350.0,8.7,100,15.6,33579.0,89.07,34.13,41.51,25.61,31.45,44.354
11,Honda e,Honda,e,152900,136,315.0,disc (front + rear),2WD (rear),35.5,222,253.8,389.4,175.2,151.2,1514.0,1855.0,342.0,5.0,5.0,16.0,145.0,171.0,9.0,100,17.2,32109.0,90.05,14.68,38.68,0.0,31.45,34.971999999999994
12,Honda e Advance,Honda,e Advance,165900,154,315.0,disc (front + rear),2WD (rear),35.5,222,253.8,389.4,175.2,151.2,1543.0,1870.0,350.0,5.0,5.0,17.0,145.0,171.0,8.3,100,17.5,34839.0,88.22,14.68,45.28,0.0,31.45,35.926
13,Hyundai Ioniq electric,Hyundai,Ioniq electric,184500,136,295.0,disc (front + rear),2WD (front),38.3,311,270.0,447.0,182.0,147.5,1527.0,1970.0,518.0,5.0,5.0,16.0,165.0,357.0,9.9,100,13.8,38745.0,85.61,32.34,30.19,26.61,31.45,41.239999999999995
14,Hyundai Kona electric 39.2kWh,Hyundai,Kona electric 39.2kWh,154400,136,395.0,disc (front + rear),2WD (front),39.2,289,260.0,418.0,180.0,157.0,1535.0,2020.0,485.0,5.0,5.0,17.0,155.0,332.0,9.7,100,15.0,32424.0,89.84,27.98,32.08,23.03,31.45,40.876
15,Hyundai Kona electric 64kWh,Hyundai,Kona electric 64kWh,178400,204,395.0,disc (front + rear),2WD (front),64.0,449,260.0,418.0,180.0,157.0,1685.0,2170.0,485.0,5.0,5.0,17.0,167.0,332.0,7.6,100,15.4,37464.0,86.47,59.72,51.89,23.03,31.45,50.51199999999999
16,Jaguar I-Pace,Jaguar,I-Pace,359500,400,696.0,disc (front + rear),4WD,90.0,470,299.0,468.2,201.1,155.6,2208.0,2670.0,537.0,5.0,5.0,20.0,200.0,656.0,4.8,100,21.2,75495.0,61.03,63.89,78.3,69.38,31.45,60.81
17,Kia e-Niro 39.2kWh,Kia,e-Niro 39.2kWh,146990,136,395.0,disc (front + rear),2WD (front),39.2,289,270.0,437.5,180.5,156.0,1592.0,2080.0,488.0,5.0,5.0,17.0,155.0,451.0,9.8,100,15.3,30867.899999999998,90.88,27.98,31.13,40.06,31.45,44.3
18,Kia e-Niro 64kWh,Kia,e-Niro 64kWh,167990,204,395.0,disc (front + rear),2WD (front),64.0,455,270.0,437.5,180.5,156.0,1737.0,2230.0,493.0,5.0,5.0,17.0,167.0,451.0,7.8,100,15.9,35277.9,87.93,60.91,50.0,40.06,31.45,54.07000000000001
19,Kia e-Soul 39.2kWh,Kia,e-Soul 39.2kWh,139900,136,395.0,disc (front + rear),2WD (front),39.2,276,260.0,419.5,180.0,160.5,1535.0,1682.0,490.0,5.0,5.0,17.0,157.0,315.0,9.9,100,15.6,29379.0,91.87,25.4,30.19,20.6,31.45,39.902
20,Kia e-Soul 64kWh,Kia,e-Soul 64kWh,160990,204,395.0,disc (front + rear),2WD (front),64.0,452,260.0,419.5,180.0,160.5,1535.0,1682.0,498.0,5.0,5.0,17.0,167.0,315.0,7.9,100,15.7,33807.9,88.91,60.32,49.06,20.6,31.45,50.068
21,Mazda MX-30,Mazda,MX-30,142900,145,270.0,disc (front + rear),2WD (front),35.5,200,265.5,439.5,179.5,155.5,1645.0,2119.0,474.0,5.0,5.0,18.0,140.0,350.0,9.7,37,14.5,30009.0,91.45,10.32,32.08,25.61,6.05,33.10200000000001
22,Mercedes-Benz EQC,Mercedes-Benz,EQC,334700,408,760.0,disc (front + rear),4WD,80.0,414,287.3,476.2,188.4,162.4,2495.0,2940.0,445.0,5.0,5.0,19.0,180.0,500.0,5.1,110,21.85,70287.0,64.51,52.78,75.47,47.07,35.48,55.062
23,Mini Cooper SE,Mini,Cooper SE,139900,184,270.0,disc (front + rear),2WD (front),28.9,234,249.5,384.5,172.7,143.2,1300.0,1770.0,480.0,4.0,3.0,16.0,150.0,211.0,7.3,50,16.75,29379.0,91.87,17.06,54.72,5.72,11.29,36.132
